algorithm,file,input_size,encoded_size,compression_ratio,space_saved,compression_time,decompression_time
lz78,file1.txt,1296 B,985 B,76.00%,24.00%,0.0013 s,0.0010 s
huffman,file1.txt,1296 B,1036 B,79.94%,20.06%,0.0007 s,0.0013 s
lz78,file2.txt,4833 B,3344 B,69.19%,30.81%,0.0043 s,0.0037 s
huffman,file2.txt,4833 B,3164 B,65.47%,34.53%,0.0019 s,0.0045 s
lz78,file3.txt,52571 B,30668 B,58.34%,41.66%,0.0332 s,0.0275 s
huffman,file3.txt,52571 B,31347 B,59.63%,40.37%,0.0190 s,0.0435 s
lz78,file4.txt,61668 B,35954 B,58.30%,41.70%,0.0388 s,0.0305 s
huffman,file4.txt,61668 B,36614 B,59.37%,40.63%,0.0203 s,0.0528 s
lz78,file5.txt,204384 B,110050 B,53.84%,46.16%,0.1224 s,0.1312 s
huffman,file5.txt,204384 B,117902 B,57.69%,42.31%,0.1092 s,0.3048 s
lz78,file6.txt,376198 B,196769 B,52.30%,47.70%,0.4089 s,0.3310 s
huffman,file6.txt,376198 B,220249 B,58.55%,41.45%,0.2286 s,0.7738 s
lz78,file7.txt,424042 B,219706 B,51.81%,48.19%,0.4434 s,0.3937 s
huffman,file7.txt,424042 B,239369 B,56.45%,43.55%,0.3550 s,0.7373 s
lz78,file8.txt,556732 B,281294 B,50.53%,49.47%,1.0922 s,0.5074 s
huffman,file8.txt,556732 B,318454 B,57.20%,42.80%,0.3322 s,0.7297 s
lz78,file9.txt,712842 B,340228 B,47.73%,52.27%,0.6621 s,0.5295 s
huffman,file9.txt,712842 B,411043 B,57.66%,42.34%,0.4171 s,0.9485 s
lz78,file10.txt,1153934 B,547298 B,47.43%,52.57%,1.0578 s,0.8672 s
huffman,file10.txt,1153934 B,651061 B,56.42%,43.58%,0.5993 s,1.5245 s
lz78,file11.txt,1276267 B,639231 B,50.09%,49.91%,1.2618 s,1.0064 s
huffman,file11.txt,1276267 B,739194 B,57.92%,42.08%,0.7050 s,1.6826 s
lz78,file12.txt,2033862 B,922495 B,45.36%,54.64%,1.8464 s,1.4566 s
huffman,file12.txt,2033862 B,1159666 B,57.02%,42.98%,1.0755 s,2.6903 s
lz78,file13.txt,2445676 B,1085700 B,44.39%,55.61%,2.3050 s,1.8262 s
huffman,file13.txt,2445676 B,1377779 B,56.34%,43.66%,1.3281 s,3.5655 s
lz78,file14.txt,3617835 B,1638744 B,45.30%,54.70%,3.4103 s,3.1630 s
huffman,file14.txt,3617835 B,2048324 B,56.62%,43.38%,1.9146 s,4.9389 s
lz78,file15.txt,4455950 B,1815624 B,40.75%,59.25%,4.2806 s,3.2700 s
huffman,file15.txt,4455950 B,2585244 B,58.02%,41.98%,2.6458 s,6.2052 s
lz78,file16.txt,10708451 B,4193572 B,39.16%,60.84%,9.7610 s,7.9884 s
huffman,file16.txt,10708451 B,5977639 B,55.82%,44.18%,5.8703 s,14.6042 s
